vinevar,age,unit,geo\time	2020 	2015 
VIM_TOT,TOTAL,HLD,FRI1	6900 	: 
VIM_TOT,TOTAL,HLD,FRI2	42 	: 
VIM_TOT,TOTAL,HLD,FRI3	3951 	: 
VIM_TOT,TOTAL,HLD,FRJ1	21872 	: 
VIM_TOT,TOTAL,HLD,FRJ2	2068 	: 
VIM_TOT,TOTAL,HLD,FRK1	183 	: 
VIM_TOT,TOTAL,HLD,FRK2	5589 	: 
VIM_TOT,TOTAL,HLD,FRL0	8857 	: 
VIM_TOT,TOTAL,HLD,FRM0	286 	: 
VIM_TOT,TOTAL,HLD,HR	21284 	30645 
VIM_TOT,TOTAL,HLD,HR02	2826 	: 
VIM_TOT,TOTAL,HLD,HR03	10776 	16146 
VIM_TOT,TOTAL,HLD,HR04	: 	14499 
VIM_TOT,TOTAL,HLD,HR05	118 	: 
VIM_TOT,TOTAL,HLD,HR06	7564 	: 
VIM_TOT,TOTAL,HLD,HU	22776 	34529 
VIM_TOT,TOTAL,HLD,HU10	: 	770 
VIM_TOT,TOTAL,HLD,HU11	10 	: 
VIM_TOT,TOTAL,HLD,HU12	486 	: 
VIM_TOT,TOTAL,HLD,HU21	4513 	7114 
VIM_TOT,TOTAL,HLD,HU22	1928 	4519 
VIM_TOT,TOTAL,HLD,HU23	3321 	4929 
VIM_TOT,TOTAL,HLD,HU31	7483 	10384 
VIM_TOT,TOTAL,HLD,HU32	213 	321 
VIM_TOT,TOTAL,HLD,HU33	4822 	6611 
VIM_TOT,TOTAL,HLD,IT	233917 	353142 
VIM_TOT,TOTAL,HLD,ITC1	12614 	20051 
VIM_TOT,TOTAL,HLD,ITC2	528 	1264 
VIM_TOT,TOTAL,HLD,ITC3	1111 	2451 
VIM_TOT,TOTAL,HLD,ITC4	2217 	9280 
VIM_TOT,TOTAL,HLD,ITF1	13326 	19846 
VIM_TOT,TOTAL,HLD,ITF2	3594 	6885 
VIM_TOT,TOTAL,HLD,ITF3	18241 	30932 
VIM_TOT,TOTAL,HLD,ITF4	40474 	50406 
VIM_TOT,TOTAL,HLD,ITF5	4844 	7301 
VIM_TOT,TOTAL,HLD,ITF6	6654 	9240 
VIM_TOT,TOTAL,HLD,ITG1	30842 	36897 
VIM_TOT,TOTAL,HLD,ITG2	11488 	18052 
VIM_TOT,TOTAL,HLD,ITH1	3060 	3827 
VIM_TOT,TOTAL,HLD,ITH2	5532 	7562 
VIM_TOT,TOTAL,HLD,ITH3	24846 	36711 
VIM_TOT,TOTAL,HLD,ITH4	4830 	6621 
VIM_TOT,TOTAL,HLD,ITH5	12956 	24461 
VIM_TOT,TOTAL,HLD,ITI1	12783 	18455 
VIM_TOT,TOTAL,HLD,ITI2	6716 	11512 
VIM_TOT,TOTAL,HLD,ITI3	9463 	14601 
VIM_TOT,TOTAL,HLD,ITI4	7798 	16786 
VIM_TOT,TOTAL,HLD,PT	107848 e	211944 d
VIM_TOT,TOTAL,HLD,PT11	58881 e	107186 
VIM_TOT,TOTAL,HLD,PT15	1969 e	1638 
VIM_TOT,TOTAL,HLD,PT16	39487 e	89240 
VIM_TOT,TOTAL,HLD,PT17	2087 e	3333 
VIM_TOT,TOTAL,HLD,PT18	5424 e	10547 
VIM_TOT,TOTAL,HLD,RO	76163 	838026 
VIM_TOT,TOTAL,HLD,RO11	1751 	54845 
VIM_TOT,TOTAL,HLD,RO12	4558 	27080 
VIM_TOT,TOTAL,HLD,RO21	6944 	146002 
VIM_TOT,TOTAL,HLD,RO22	39545 	188524 
VIM_TOT,TOTAL,HLD,RO31	5073 	183968 
VIM_TOT,TOTAL,HLD,RO32	0 	6714 
VIM_TOT,TOTAL,HLD,RO41	17354 	227184 
VIM_TOT,TOTAL,HLD,RO42	938 	3987 
VIM_TOT,TOTAL,HLD,SI	21364 	28470 
VIM_TOT,TOTAL,HLD,SI03	16388 	23051 
VIM_TOT,TOTAL,HLD,SI04	4976 	5419 
VIM_TOT,TOTAL,HLD,SK	4367 	5315 
VIM_TOT,TOTAL,HLD,SK01	1310 	1631 
VIM_TOT,TOTAL,HLD,SK02	2393 	3086 
VIM_TOT,TOTAL,HLD,SK03	177 	213 
VIM_TOT,TOTAL,HLD,SK04	500 	410 
VIM_TOT,Y10-29,HA,AT	19633 	21722 
VIM_TOT,Y10-29,HA,AT11	5736 	6985 
VIM_TOT,Y10-29,HA,AT12	11473 	12672 
VIM_TOT,Y10-29,HA,AT13	305 	274 
VIM_TOT,Y10-29,HA,AT21	35 	7 
VIM_TOT,Y10-29,HA,AT22	2054 	1769 
VIM_TOT,Y10-29,HA,AT31	18 	10 
VIM_TOT,Y10-29,HA,AT32	4 	0 
VIM_TOT,Y10-29,HA,AT33	3 	1 
VIM_TOT,Y10-29,HA,AT34	6 	5 
VIM_TOT,Y10-29,HA,BG	11894 	7024 
VIM_TOT,Y10-29,HA,BG31	944 	826 
VIM_TOT,Y10-29,HA,BG32	683 	594 
VIM_TOT,Y10-29,HA,BG33	1081 	581 
VIM_TOT,Y10-29,HA,BG34	4465 	3089 
VIM_TOT,Y10-29,HA,BG41	328 	278 
VIM_TOT,Y10-29,HA,BG42	4393 	1656 
VIM_TOT,Y10-29,HA,CY	869 	506 
VIM_TOT,Y10-29,HA,CZ	7154 	7955 
VIM_TOT,Y10-29,HA,CZ01	6 	6 
VIM_TOT,Y10-29,HA,CZ02	121 	127 
VIM_TOT,Y10-29,HA,CZ03	: c	: c
VIM_TOT,Y10-29,HA,CZ04	81 	66 
VIM_TOT,Y10-29,HA,CZ05	0 	0 
VIM_TOT,Y10-29,HA,CZ06	6801 	7628 
VIM_TOT,Y10-29,HA,CZ07	145 	128 
VIM_TOT,Y10-29,HA,CZ08	: c	: c
VIM_TOT,Y10-29,HA,DE	48420 	51373 
VIM_TOT,Y10-29,HA,DE11	4811 	5620 
VIM_TOT,Y10-29,HA,DE12	1098 	1082 
VIM_TOT,Y10-29,HA,DE13	6741 	6214 
VIM_TOT,Y10-29,HA,DE14	307 	306 
VIM_TOT,Y10-29,HA,DE21	: c	: 
VIM_TOT,Y10-29,HA,DE23	2 	1 
VIM_TOT,Y10-29,HA,DE24	: c	3 
VIM_TOT,Y10-29,HA,DE25	129 	104 
VIM_TOT,Y10-29,HA,DE26	2138 	2500 
VIM_TOT,Y10-29,HA,DE27	23 	16 
VIM_TOT,Y10-29,HA,DE40	8 	: c
VIM_TOT,Y10-29,HA,DE71	1437 	1652 
VIM_TOT,Y10-29,HA,DE73	0 	0 
VIM_TOT,Y10-29,HA,DE80	1 	2 
VIM_TOT,Y10-29,HA,DEA2	18 	: c
VIM_TOT,Y10-29,HA,DEB1	3324 	3623 
